species	name	gene	condition	replicate	value	chrom	strand	amplicon_start	amplicon_end	transcript_start	transcript_end	orf_start	orf_end
cerevisiae	pma1_pr	PMA1	WT-37C	1	17.3	chrVII	-	482943	483032	479493	482902	479909	482666
cerevisiae	pma1_pr	PMA1	WT-37C	2	17.3	chrVII	-	482943	483032	479493	482902	479909	482666
cerevisiae	pma1_pr	PMA1	WT-37C	3	16.5	chrVII	-	482943	483032	479493	482902	479909	482666
cerevisiae	pma1_pr	PMA1	spt6-1004-37C	1	7.35	chrVII	-	482943	483032	479493	482902	479909	482666
cerevisiae	pma1_pr	PMA1	spt6-1004-37C	2	4.42	chrVII	-	482943	483032	479493	482902	479909	482666
cerevisiae	pma1_pr	PMA1	spt6-1004-37C	3	5.68	chrVII	-	482943	483032	479493	482902	479909	482666
cerevisiae	pma1_ORF	PMA1	WT-37C	1	0.248	chrVII	-	481149	481231	479493	482902	479909	482666
cerevisiae	pma1_ORF	PMA1	WT-37C	2	0.277	chrVII	-	481149	481231	479493	482902	479909	482666
cerevisiae	pma1_ORF	PMA1	WT-37C	3	0.246	chrVII	-	481149	481231	479493	482902	479909	482666
cerevisiae	pma1_ORF	PMA1	spt6-1004-37C	1	0.386	chrVII	-	481149	481231	479493	482902	479909	482666
cerevisiae	pma1_ORF	PMA1	spt6-1004-37C	2	0.197	chrVII	-	481149	481231	479493	482902	479909	482666
cerevisiae	pma1_ORF	PMA1	spt6-1004-37C	3	0.265	chrVII	-	481149	481231	479493	482902	479909	482666
cerevisiae	hsp82_pr	HSP82	WT-37C	1	0.196	chrXVI	-	98703	98781	96407	98681	96495	98625
cerevisiae	hsp82_pr	HSP82	WT-37C	2	0.197	chrXVI	-	98703	98781	96407	98681	96495	98625
cerevisiae	hsp82_pr	HSP82	WT-37C	3	0.161	chrXVI	-	98703	98781	96407	98681	96495	98625
cerevisiae	hsp82_pr	HSP82	spt6-1004-37C	1	3.08	chrXVI	-	98703	98781	96407	98681	96495	98625
cerevisiae	hsp82_pr	HSP82	spt6-1004-37C	2	2.08	chrXVI	-	98703	98781	96407	98681	96495	98625
cerevisiae	hsp82_pr	HSP82	spt6-1004-37C	3	2.73	chrXVI	-	98703	98781	96407	98681	96495	98625
cerevisiae	hsp82_ORF	HSP82	WT-37C	1	0.141	chrXVI	-	97359	97438	96407	98681	96495	98625
cerevisiae	hsp82_ORF	HSP82	WT-37C	2	0.17	chrXVI	-	97359	97438	96407	98681	96495	98625
cerevisiae	hsp82_ORF	HSP82	WT-37C	3	0.111	chrXVI	-	97359	97438	96407	98681	96495	98625
cerevisiae	hsp82_ORF	HSP82	spt6-1004-37C	1	0.163	chrXVI	-	97359	97438	96407	98681	96495	98625
cerevisiae	hsp82_ORF	HSP82	spt6-1004-37C	2	0.0745	chrXVI	-	97359	97438	96407	98681	96495	98625
cerevisiae	hsp82_ORF	HSP82	spt6-1004-37C	3	0.124	chrXVI	-	97359	97438	96407	98681	96495	98625
cerevisiae	flo8_pr	FLO8	WT-37C	1	0.85	chrV	-	377876	377975	374938	377805	375214	377614
cerevisiae	flo8_pr	FLO8	WT-37C	2	0.782	chrV	-	377876	377975	374938	377805	375214	377614
cerevisiae	flo8_pr	FLO8	WT-37C	3	0.735	chrV	-	377876	377975	374938	377805	375214	377614
cerevisiae	flo8_pr	FLO8	spt6-1004-37C	1	0.486	chrV	-	377876	377975	374938	377805	375214	377614
cerevisiae	flo8_pr	FLO8	spt6-1004-37C	2	0.231	chrV	-	377876	377975	374938	377805	375214	377614
cerevisiae	flo8_pr	FLO8	spt6-1004-37C	3	0.422	chrV	-	377876	377975	374938	377805	375214	377614
cerevisiae	flo8_BRF	FLO8	WT-37C	1	0.115	chrV	-	375905	376015	374938	377805	375214	377614
cerevisiae	flo8_BRF	FLO8	WT-37C	2	0.129	chrV	-	375905	376015	374938	377805	375214	377614
cerevisiae	flo8_BRF	FLO8	WT-37C	3	0.099	chrV	-	375905	376015	374938	377805	375214	377614
cerevisiae	flo8_BRF	FLO8	spt6-1004-37C	1	0.832	chrV	-	375905	376015	374938	377805	375214	377614
cerevisiae	flo8_BRF	FLO8	spt6-1004-37C	2	0.427	chrV	-	375905	376015	374938	377805	375214	377614
cerevisiae	flo8_BRF	FLO8	spt6-1004-37C	3	0.79	chrV	-	375905	376015	374938	377805	375214	377614
cerevisiae	avt2_ORF	AVT2	WT-37C	1	0.1154131848	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	avt2_ORF	AVT2	WT-37C	2	0.1282588011	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	avt2_ORF	AVT2	WT-37C	3	0.1039692044	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	avt2_ORF	AVT2	WT-37C	4	0.1361880285	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	avt2_ORF	AVT2	WT-37C	5	0.1171585937	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	avt2_ORF	AVT2	WT-37C	6	0.1551871007	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	avt2_ORF	AVT2	spt6-1004-37C	1	0.3473684211	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	avt2_ORF	AVT2	spt6-1004-37C	2	0.1476401507	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	avt2_ORF	AVT2	spt6-1004-37C	3	0.2963957055	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	avt2_ORF	AVT2	spt6-1004-37C	4	0.298100935	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	avt2_ORF	AVT2	spt6-1004-37C	5	0.2697098039	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	avt2_ORF	AVT2	spt6-1004-37C	6	0.1646482845	chrV	-	30309	30439	29468	31268	29796	31239
cerevisiae	ypt52_ORF	YPT52	WT-37C	1	0.2058139535	chrXI	-	465458	465584	465271	466214	465366	466071
cerevisiae	ypt52_ORF	YPT52	WT-37C	2	0.2088209607	chrXI	-	465458	465584	465271	466214	465366	466071
cerevisiae	ypt52_ORF	YPT52	WT-37C	3	0.1100646772	chrXI	-	465458	465584	465271	466214	465366	466071
cerevisiae	ypt52_ORF	YPT52	WT-37C	4	0.2310119	chrXI	-	465458	465584	465271	466214	465366	466071
cerevisiae	ypt52_ORF	YPT52	WT-37C	5	0.0979584304	chrXI	-	465458	465584	465271	466214	465366	466071
cerevisiae	ypt52_ORF	YPT52	WT-37C	6	0.2572785031	chrXI	-	465458	465584	465271	466214	465366	466071
cerevisiae	ypt52_ORF	YPT52	spt6-1004-37C	1	0.4863399374	chrXI	-	465458	465584	465271	466214	465366	466071
cerevisiae	ypt52_ORF	YPT52	spt6-1004-37C	2	0.24443627	chrXI	-	465458	465584	465271	466214	465366	466071
cerevisiae	ypt52_ORF	YPT52	spt6-1004-37C	3	0.4354590528	chrXI	-	465458	465584	465271	466214	465366	466071
cerevisiae	ypt52_ORF	YPT52	spt6-1004-37C	4	0.4166508937	chrXI	-	465458	465584	465271	466214	465366	466071
cerevisiae	ypt52_ORF	YPT52	spt6-1004-37C	5	0.3862520458	chrXI	-	465458	465584	465271	466214	465366	466071
cerevisiae	ypt52_ORF	YPT52	spt6-1004-37C	6	0.2727124953	chrXI	-	465458	465584	465271	466214	465366	466071
